"Test";"Manager";"CPU(ms) Default_64";"Ticks(ms) Default_64";"Memory(Kb) Default_64";"CPU(%) FastMM4_64";"Ticks(%) FastMM4_64";"Memory(%) FastMM4_64";"CPU(%) FastMM4_FullDebug_64";"Ticks(%) FastMM4_FullDebug_64";"Memory(%) FastMM4_FullDebug_64";"CPU(%) FastMM5_64";"Ticks(%) FastMM5_64";"Memory(%) FastMM5_64";"CPU(%) FastMM5_FullDebug_64";"Ticks(%) FastMM5_FullDebug_64";"Memory(%) FastMM5_FullDebug_64";"CPU(%) ScaleMM2_64";"Ticks(%) ScaleMM2_64";"Memory(%) ScaleMM2_64";"CPU(%) TCMAlloc_64";"Ticks(%) TCMAlloc_64";"Memory(%) TCMAlloc_64";
"ReallocMem Small (1-555b)";"Default";"1296";"1297";"125580";"109.722222222222";"109.637625289129";"96.3561076604555";"3.62654320987654";"3.54664610639938";"451.039974518235";"114.583333333333";"114.417887432537";"220.070074852684";"3.62654320987654";"3.62374710871241";"479.350215002389";"112.114197530864";"112.027756360833";"118.340500079631";"137.422839506173";"137.316885119507";"1163.50692785475";
"Single-threaded allocate, use and free";"Default";"17126";"17125";"679500";"101.179493168282";"101.191240875912";"99.5149374540103";"4.37930631787925";"4.37956204379562";"83.5461368653422";"102.084549807311";"102.102189781022";"102.411184694628";"8.85203783720659";"8.85255474452555";"95.3713024282561";"107.836038771459";"107.848175182482";"127.614422369389";"87.2241037019736";"87.229197080292";"215.030463576159";
"Single-threaded reallocate and use";"Default";"6672";"6672";"1040460";"94.8441247002398";"94.8441247002398";"98.6990369644196";"0.704436450839328";"0.704436450839328";"54.6850431539896";"92.5209832134293";"92.5059952038369";"98.0562443534591";"0.929256594724221";"0.944244604316547";"62.2847586644369";"93.2104316546763";"93.2104316546763";"91.9781635046037";"92.970623501199";"92.970623501199";"140.431347673145";
"Single-threaded tiny reallocate and use";"Default";"3265";"3265";"125324";"92.3430321592649";"92.3736600306279";"96.5529347930165";"201.929555895865";"201.960183767228";"454.004021576075";"87.5650842266462";"87.5650842266462";"215.617120423861";"268.973966309342";"268.973966309342";"517.098081772047";"82.3277182235835";"82.2970903522205";"129.204302448055";"119.632465543645";"119.632465543645";"1165.88362963199";
"Single Variables Access  3 arrays at a time";"Default";"2407";"2407";"127820";"101.911092646448";"101.911092646448";"97.4714442184322";"99.9584545076859";"99.9584545076859";"446.890940384916";"99.9584545076859";"99.9584545076859";"218.366452824284";"101.246364769423";"101.246364769423";"509.754342043499";"99.3352721229747";"99.3352721229747";"117.067751525583";"101.287910261737";"101.246364769423";"1143.91800970114";
"Single Variables Access  6 arrays at a time";"Default";"2218";"2219";"125324";"100.045085662759";"100";"97.3700169161533";"100.045085662759";"100";"453.799751045291";"100.045085662759";"100";"221.336695285819";"100.721370604148";"100.675980171248";"517.915163895184";"100.045085662759";"99.9549346552501";"119.399316970413";"102.119026149684";"102.118071203245";"1166.70071175513";
"Small upsize";"Default";"5344";"5344";"141004";"83.9258982035928";"83.9258982035928";"96.9362571274574";"4.97754491017964";"4.97754491017964";"404.42540637145";"76.0104790419162";"76.0104790419162";"198.402882187739";"5.83832335329341";"5.85703592814371";"459.595472468866";"89.1654191616767";"89.1654191616767";"125.23048991518";"89.4648203592814";"89.4648203592814";"1036.23443306573";
"Sort Extended Array";"Default";"45735";"8657";"133516";"97.4024270252542";"88.4486542682222";"96.7644327271638";"0.922706898436646";"0.727734781101998";"433.242457832769";"94.8398381983164";"81.2290631858612";"203.921627370502";"1.02547283262272";"0.912556312810442";"491.506635908805";"94.6343063299442";"80.5013284047591";"126.645495670931";"95.7975292445611";"85.7340880212545";"1100.48533509093";
"Sort Integer Array";"Default";"9250";"9250";"126348";"98.4756756756757";"98.4864864864865";"96.5808718776712";"0";"0";"452.148035584259";"96.4540540540541";"96.4540540540541";"209.817329914205";"0.162162162162162";"0.172972972972973";"513.717668661158";"96.2918918918919";"96.2918918918919";"128.157153259252";"98.1405405405405";"98.1405405405405";"1157.24506917403";
"String  2 Thread Test";"Default";"9265";"9359";"126604";"122.77388019428";"61.4381878405813";"96.587785536002";"27.1559633027523";"13.6873597606582";"561.637862942719";"85.3426875337291";"42.4083769633508";"140.64326561562";"36.9347004856989";"18.3673469387755";"511.870083093741";"82.9681597409606";"41.243722619938";"132.750939938707";"103.38909875877";"53.2642376322257";"1154.09623708572";
